Movie Name,Rating,Year,Director,Writers,Cast,User Reviews,Genre,Summary,URL
Ramayana: The Legend of Prince Rama,9.2,1993,Ram Mohan,"['Rani Burra', 'Ram Mohan', 'Yûgô Sakô']","['Arun Govil', 'Nikhil Kapoor', 'Edie Mirman']",53,Animation,"An anime adaptation of the Hindu epic the Ramayana, where Lord Ram combats the wicked king Ravana.",https://www.imdb.com/title/tt0259534/?ref_=fea_eds_center-3_IndiaTop250_0
12th Fail,8.9,2023,Vidhu Vinod Chopra,"['Vidhu Vinod Chopra', 'Jaskunwar Kohli', 'Anurag Pathak']","['Vikrant Massey', 'Medha Shankr', 'Anant Joshi']",973,Biography,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,https://www.imdb.com/title/tt23849204/?ref_=fea_eds_center-3_IndiaTop250_1
Nayakan,8.7,1987,Mani Ratnam,"['Balakumaran', 'Rajasri', 'Mani Ratnam']","['Kamal Haasan', 'Saranya Ponvannan', 'Delhi Ganesh']",237,Crime,"A common man's struggles against a corrupt police force put him on the wrong side of the law. He becomes a don, who is loved and respected by many, but his growing power and influence exact ... Read all",https://www.imdb.com/title/tt0093603/?ref_=fea_eds_center-3_IndiaTop250_2
Gol Maal,8.5,1979,Hrishikesh Mukherjee,"['Sailesh Dey', 'Sachin Bhowmick', 'Rahi Masoom Reza']","['Amol Palekar', 'Utpal Dutt', 'Bindiya Goswami']",48,Comedy,A man's simple lie to secure his job escalates into more complex lies when his orthodox boss gets suspicious.,https://www.imdb.com/title/tt0079221/?ref_=fea_eds_center-3_IndiaTop250_3
Anbe Sivam,8.6,2003,Sundar C.,"['Kamal Haasan', 'Madan', 'Mohan Nair']","['Kamal Haasan', 'Madhavan', 'Kiran Rathod']",116,Adventure,"Two men, one young and arrogant, the other damaged - physically but not spiritually - by life, are thrown together by circumstances, and find that they are in some ways bound together by fat... Read all",https://www.imdb.com/title/tt0367495/?ref_=fea_eds_center-3_IndiaTop250_4
Rocketry: The Nambi Effect,8.7,2022,Madhavan,"['Madhavan', 'Anant Mahadevan', 'Rahul Pandey']","['Madhavan', 'Simran', 'Rajit Kapoor']",1.1K,Biography,"The story of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994.",https://www.imdb.com/title/tt9263550/?ref_=fea_eds_center-3_IndiaTop250_5
777 Charlie,8.7,2022,Kiranraj K,"['Kiranraj K', 'K.N. Vijay Kumar', 'Satheesh Muthukulam']","['Rakshit Shetty', 'Charlie', 'Sangeetha Sringeri']",390,Adventure,Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towa... Read all,https://www.imdb.com/title/tt7466810/?ref_=fea_eds_center-3_IndiaTop250_6
Pariyerum Perumal,8.7,2018,Mari Selvaraj,['Mari Selvaraj'],"['Kathir', 'Anandhi', 'Yogi Babu']",168,Drama,"A law student from a lower caste begins a friendship with his classmate, a girl who belongs to a higher caste, and the men in her family start giving him trouble over this.",https://www.imdb.com/title/tt8176054/?ref_=fea_eds_center-3_IndiaTop250_7
#Home,8.8,2021,Rojin Thomas,['Rojin Thomas'],"['Indrans', 'Sreenath Bhasi', 'Manju Pillai']",541,Drama,"Oliver Twist (Indrans) wants to be tech-savvy and become a better companion to his two sons, who spend more time on their phones than with their loved ones.",https://www.imdb.com/title/tt10534500/?ref_=fea_eds_center-3_IndiaTop250_8
Manichithrathazhu,8.7,1993,Fazil,['Madhu Muttam'],"['Mohanlal', 'Shobana', 'Suresh Gopi']",53,Comedy,"When a forbidden room in an old bungalow is unbolted, the spirit of a vengeful dancer is unleashed.",https://www.imdb.com/title/tt0214915/?ref_=fea_eds_center-3_IndiaTop250_9
3 Idiots,8.4,2009,Rajkumar Hirani,"['Abhijat Joshi', 'Rajkumar Hirani', 'Vidhu Vinod Chopra']","['Aamir Khan', 'Madhavan', 'Mona Singh']",999,Comedy,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of t... Read all",https://www.imdb.com/title/tt1187043/?ref_=fea_eds_center-3_IndiaTop250_10
The World of Apu,8.4,1959,Satyajit Ray,"['Bibhutibhushan Bandyopadhyay', 'Satyajit Ray']","['Soumitra Chatterjee', 'Sharmila Tagore', 'Alok Chakravarty']",62,Drama,This final installment in Satyajit Ray's Apu Trilogy follows Apu's life as an orphaned adult aspiring to be a writer.,https://www.imdb.com/title/tt0052572/?ref_=fea_eds_center-3_IndiaTop250_11
Kireedam,8.9,1989,Sibi Malayil,['A.K. Lohithadas'],"['Mohanlal', 'Thilakan', 'Kaviyoor Ponnamma']",33,Action,The life of a young man turns upside down when he intervenes in a dispute in order to rescue his father (a cop) from a ruthless local outlaw.,https://www.imdb.com/title/tt0237376/?ref_=fea_eds_center-3_IndiaTop250_12
C/o Kancharapalem,8.8,2018,Venkatesh Maha,['Venkatesh Maha'],"['Radha Bessy', 'Subba Rao Vepada', 'Praneeta Patnaik']",139,Drama,Four unconventional love stories set in the town and including the people of Kancherapalem.,https://www.imdb.com/title/tt7391996/?ref_=fea_eds_center-3_IndiaTop250_13
Soorarai Pottru,8.7,2020,Sudha Kongara,"['Sudha Kongara', 'Shalini Ushadevi', 'Vijay Kumar']","['Suriya', 'Urvashi', 'Paresh Rawal']",2.1K,Drama,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",https://www.imdb.com/title/tt10189514/?ref_=fea_eds_center-3_IndiaTop250_14
Kumbalangi Nights,8.5,2019,Madhu C. Narayanan,['Syam Pushkaran'],"['Shane Nigam', 'Soubin Shahir', 'Fahadh Faasil']",194,Comedy,"The film revolves around four brothers who share a love-hate relationship with each other. Their relationship progresses to another level when Saji, Boney, and Franky decide to help Bobby st... Read all",https://www.imdb.com/title/tt8413338/?ref_=fea_eds_center-3_IndiaTop250_15
Black Friday,8.4,2004,Anurag Kashyap,"['Anurag Kashyap', 'Hussain Zaidi', 'Piyush Mishra']","['Kay Kay Menon', 'Pawan Malhotra', 'Aditya Srivastav']",88,Action,"A film about the investigations following the 1993 serial Bombay bomb blasts, told through the different stories of the people involved --police, conspirators, victims, middlemen.",https://www.imdb.com/title/tt0400234/?ref_=fea_eds_center-3_IndiaTop250_16
Sandesham,9.0,1991,Sathyan Anthikad,['Sreenivasan'],"['Sreenivasan', 'Jayaram', 'Thilakan']",17,Comedy,"A satire on contemporary Kerala politics where brothers turn local leaders of rival parties, leading to distress for their aged and once-proud parents.",https://www.imdb.com/title/tt0353975/?ref_=fea_eds_center-3_IndiaTop250_17
Jai Bhim,8.7,2021,T.J. Gnanavel,"['T.J. Gnanavel', 'Rajendra Sapre']","['Suriya', 'Lijo Mol Jose', 'Manikandan K.']",3.3K,Crime,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",https://www.imdb.com/title/tt15097216/?ref_=fea_eds_center-3_IndiaTop250_18
Jersey,8.5,2019,Gowtam Tinnanuri,['Gowtam Tinnanuri'],"['Nani', 'Shraddha Srinath', 'Sathyaraj']",178,Drama,A failed cricketer decides to revive his cricketing career in his late 30's despite everyone being skeptical of his ability to do so.,https://www.imdb.com/title/tt8948790/?ref_=fea_eds_center-3_IndiaTop250_19
Like Stars on Earth,8.3,2007,Aamir Khan,['Amole Gupte'],"['Darsheel Safary', 'Aamir Khan', 'Tisca Chopra']",463,Drama,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",https://www.imdb.com/title/tt0986264/?ref_=fea_eds_center-3_IndiaTop250_20
Laapataa Ladies,8.5,2023,Kiran Rao,"['Biplab Goswami', 'Divyanidhi Sharma', 'Sneha Desai']","['Nitanshi Goel', 'Pratibha Ranta', 'Sparsh Shrivastava']",299,Comedy,"The misadventures of two young brides who get lost from the same train. From mistaken identities to laugh-out-aloud escapades, the ensuing chaos guarantees laughter galore and heartwarming m... Read all",https://www.imdb.com/title/tt21626284/?ref_=fea_eds_center-3_IndiaTop250_21
Mayabazar,9.1,1957,Kadiri Venkata Reddy,"['Pingali Nagendra Rao', 'Kadiri Venkata Reddy']","['N.T. Rama Rao', 'S.V. Ranga Rao', 'Savitri']",38,Comedy,"Balarama promises Subhadra to get his daughter married to her son. But when the Pandavas loses their kingdom to the Kaurava's, Balarama breaks his promise.",https://www.imdb.com/title/tt0249795/?ref_=fea_eds_center-3_IndiaTop250_22
96,8.5,2018,C. Prem Kumar,"['Charu Gupta', 'C. Prem Kumar', 'Sorif B. Mahmud']","['Vijay Sethupathi', 'Adithya Bhaskar', 'Trisha Krishnan']",510,Drama,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.,https://www.imdb.com/title/tt7019842/?ref_=fea_eds_center-3_IndiaTop250_23
Natsamrat,8.8,2016,Mahesh Manjrekar,"['Abhijeet Shirish Deshpande', 'Mahesh Manjrekar', 'Guru Thakur']","['Nana Patekar', 'Medha Manjrekar', 'Mrunmayee Deshpande']",72,Drama,"After he retires, an aging theatre actor and his wife begin to feel unwanted by their children.",https://www.imdb.com/title/tt5311546/?ref_=fea_eds_center-3_IndiaTop250_24
Dangal,8.3,2016,Nitesh Tiwari,"['Piyush Gupta', 'Shreyas Jain', 'Nikhil Mehrotra']","['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh']",497,Action,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,https://www.imdb.com/title/tt5074352/?ref_=fea_eds_center-3_IndiaTop250_25
Kaithi,8.4,2019,Lokesh Kanagaraj,"['Lokesh Kanagaraj', 'Pon Parthiban', 'Sanjeev Tiwari']","['Karthi', 'Narain', 'Arjun Das']",290,Action,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy.",https://www.imdb.com/title/tt9900782/?ref_=fea_eds_center-3_IndiaTop250_26
Sita Ramam,8.5,2022,Hanu Raghavapudi,"['Hanu Raghavapudi', 'Jay Krishna', 'Raj Kumar Kandamudi']","['Dulquer Salmaan', 'Mrunal Thakur', 'Rashmika Mandanna']",701,Action,"An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After ... Read all",https://www.imdb.com/title/tt20850406/?ref_=fea_eds_center-3_IndiaTop250_27
